Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,1135.0,1.0,1135.0,1135.0,0.1,1493.2039999999995,0.0,0.0,0.009305715560913086,,,,,,,,,,,,,,,,,,,,,534.0583366707441,244.5795806852556,888.8245481504571,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,1883.0,2.0,748.0,1883.0,0.1,982.1100000000007,0.0,0.0,71.99627113342285,,,,,,,,,,,,,,,,,,,,,384.1401995252593,201.00361926093748,696.1647641185801,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,3047.0,3.0,1164.0,3047.0,0.1,1603.1000000000004,0.0,0.0,183.9406487941742,,,,,,,,,,,,,,,,,,,,,569.7113833775569,270.59559282043443,941.8386852804008,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,4204.0,4.0,1157.0,4204.0,0.1,1643.0,0.0,0.0,294.99981212615967,,,,,,,,,,,,,,,,,,,,,590.8735192495848,270.2464647865968,961.2809388249408,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,4441.0,5.0,237.0,4441.0,0.1,271.00799999999975,0.0,0.0,317.71631693840027,,,,,,,,,,,,,,,,,,,,,118.4804420126671,71.29795715365721,243.41472127081838,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,5565.0,6.0,1124.0,5565.0,0.1,1502.3,0.0,0.0,424.64995980262756,,,,,,,,,,,,,,,,,,,,,542.2906298977922,251.0526778909282,894.5535445303972,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,5594.0,7.0,29.0,5594.0,0.1,23.70700000000002,0.0,0.0,427.50261878967285,,,,,,,,,,,,,,,,,,,,,8.240780444621382,7.8888320151164475,23.51502389988185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,5986.0,8.0,392.0,5986.0,0.1,505.40599999999995,0.0,0.0,464.8509051799774,,,,,,,,,,,,,,,,,,,,,222.29089205903279,127.8485121597556,419.10576273256197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,7109.0,9.0,1123.0,7109.0,0.1,1558.2999999999997,0.0,0.0,572.9012470245361,,,,,,,,,,,,,,,,,,,,,564.3430546669621,273.0912911084312,926.3946124392666,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,7221.0,10.0,112.0,7221.0,0.1,130.709,0.0,0.0,583.7582857608795,,,,,,,,,,,,,,,,,,,,,54.15827851183199,38.63187566369494,124.8929337813037,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,8083.0,11.0,862.0,8083.0,0.1,1157.207,0.0,0.0,666.8782706260681,,,,,,,,,,,,,,,,,,,,,439.4818120645477,225.99055861993284,779.9327635947863,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,8268.0,12.0,185.0,8268.0,0.1,198.8159999999999,0.0,0.0,684.4639339447021,,,,,,,,,,,,,,,,,,,,,78.85286400096614,56.04451926120061,184.59723002263644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0,0.0,0.0,0.0,0.0,1101.0,9369.0,0.1,1498.3129999999987,0.0,0.0,2809.9646711349487,,,,,,,,,6.0892477,0.76337236,7.9335895,5.3585815,,,,,90.24784,50.000896,300.03506,17.85889,528.756498307609,266.1655513723531,917.9871516795296,1.0,1.8399919,0.0,1.8399919,1.8399919,1.334779821686174e-16,0.9999999994292633,8.438269124675749,-9.148462790533033,121.60497,24.020319,157.28996,-7.432103,6.182138,0.7284018,7.9308696,5.474269,-0.073782675,0.036298048,0.022436103,-0.09773614,141.92345403073242,29.810925276261163,181.93358055066136,-0.6459880129465125,0.19328517,0.0,0.19328517,0.19328517,1.1496739,0.95088536,64.854996,1.17899805e-08,1.0258979,0.1690481,1.2,0.8
14,1.0,0.0,0.0,308.0,1.0,308.0,9677.0,0.1,395.5070000000005,0.0,0.0,2845.3441092967987,,,,,,,,,,,,,,,,,,,,,162.46575177163265,104.65270765268589,346.1595213374906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0,0.0,0.0,1047.0,2.0,739.0,10416.0,0.1,1007.915,0.0,0.0,2916.8850569725037,,,,,,,,,,,,,,,,,,,,,398.7829879123703,209.10534493115424,714.6429431761693,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,0.0,0.0,1324.0,3.0,277.0,10693.0,0.1,353.90700000000015,0.0,0.0,2943.295341730118,,,,,,,,,,,,,,,,,,,,,153.33859883331442,92.95914638529669,312.05600808333054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.0,0.0,0.0,1970.0,4.0,646.0,11339.0,0.1,835.1170000000008,0.0,0.0,3006.2417180538177,,,,,,,,,,,,,,,,,,,,,323.96627310794895,186.14834858589887,627.0883371582453,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,0.0,3111.0,5.0,1141.0,12480.0,0.1,1565.3000000000002,0.0,0.0,3116.7944877147675,,,,,,,,,,,,,,,,,,,,,565.62112891674,271.55553533641626,921.7689079529974,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,4249.0,6.0,1138.0,13618.0,0.1,1474.7999999999993,0.0,0.0,3226.063351392746,,,,,,,,,,,,,,,,,,,,,517.913347545257,252.57915061192273,887.1880995044065,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,5386.0,7.0,1137.0,14755.0,0.1,1509.1209999999992,0.0,0.0,3334.653537750244,,,,,,,,,,,,,,,,,,,,,539.9221389745301,252.5295847467511,897.0226763159142,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
